"id_transaksi","id_pelanggan","tanggal_transaksi","pedas","sayuran","metode_pembayaran"
119,201,"2024-11-15",1,"tanpa sayur","cash"
120,203,"2024-01-23",0,"sawi putih","cash"
121,195,"2024-08-24",5,"tanpa sayur","cash"
122,134,"2025-01-12",1,"tanpa sayur","cash"
123,28,"2024-09-29",4,"sawi hijau","cash"
124,172,"2024-12-24",0,"sawi putih","qris"
125,140,"2024-09-27",3,"sawi putih","cash"
126,161,"2024-10-26",0,"tanpa sayur","cash"
127,17,"2025-03-03",0,"tanpa sayur","cash"
128,122,"2024-01-13",3,"sawi putih","cash"
129,176,"2024-02-19",4,"sawi putih","cash"
130,30,"2024-07-30",0,"tanpa sayur","qris"
131,36,"2024-01-07",3,"sawi hijau","transfer"
132,116,"2024-09-23",4,"sawi putih","debit"
133,147,"2025-02-26",1,"sawi putih","cash"
134,21,"2024-03-14",1,"tanpa sayur","cash"
135,81,"2024-09-25",0,"tanpa sayur","cash"
136,207,"2024-12-13",1,"sawi hijau","cash"
137,139,"2024-11-25",0,"tanpa sayur","cash"
138,92,"2024-02-11",0,"sawi hijau","cash"
139,210,"2024-11-29",1,"tanpa sayur","debit"
140,201,"2024-01-23",0,"sawi hijau","cash"
141,105,"2024-03-24",1,"sawi hijau","cash"
142,93,"2024-11-21",3,"sawi putih","debit"
143,157,"2024-05-03",1,"sawi hijau","debit"
144,142,"2024-10-06",0,"sawi putih","cash"
145,98,"2024-07-13",5,"sawi hijau","qris"
146,45,"2024-02-24",1,"tanpa sayur","cash"
147,132,"2024-05-04",0,"sawi putih","debit"
148,176,"2024-07-31",1,"tanpa sayur","debit"
149,149,"2024-09-02",1,"sawi hijau","debit"
150,182,"2024-05-28",0,"tanpa sayur","qris"
151,204,"2024-12-18",4,"sawi putih","qris"
152,53,"2024-07-11",1,"sawi hijau","qris"
153,41,"2024-07-26",0,"sawi hijau","qris"
154,94,"2024-05-24",3,"sawi hijau","cash"
155,46,"2025-03-24",2,"tanpa sayur","cash"
156,181,"2024-01-10",0,"sawi putih","cash"
157,49,"2024-01-05",4,"sawi hijau","cash"
158,49,"2025-01-12",1,"sawi putih","cash"
159,116,"2024-02-17",0,"sawi hijau","qris"
160,171,"2024-03-18",4,"tanpa sayur","debit"
161,166,"2024-12-05",1,"sawi hijau","qris"
162,113,"2024-07-13",0,"sawi putih","cash"
163,20,"2024-09-13",4,"sawi putih","cash"
164,98,"2025-03-28",3,"sawi putih","debit"
165,95,"2024-12-30",4,"tanpa sayur","cash"
166,186,"2024-10-03",1,"sawi hijau","debit"
167,36,"2024-10-04",3,"sawi putih","cash"
168,135,"2024-07-17",0,"tanpa sayur","cash"
169,59,"2024-02-23",0,"sawi putih","cash"
170,169,"2024-02-05",0,"sawi putih","transfer"
171,27,"2025-01-19",4,"sawi putih","qris"
172,49,"2025-02-06",4,"sawi hijau","cash"
173,97,"2024-08-24",2,"tanpa sayur","qris"
174,142,"2024-05-09",5,"sawi putih","cash"
175,153,"2024-06-07",4,"tanpa sayur","qris"
176,89,"2024-07-02",3,"sawi putih","cash"
177,146,"2024-04-14",4,"sawi hijau","qris"
178,61,"2024-03-10",0,"sawi hijau","qris"
179,195,"2024-09-06",5,"sawi hijau","debit"
180,121,"2025-02-25",1,"sawi hijau","qris"
181,132,"2024-09-18",1,"tanpa sayur","qris"
182,208,"2024-11-06",5,"tanpa sayur","qris"
183,108,"2024-10-15",0,"sawi hijau","cash"
184,119,"2024-03-10",0,"tanpa sayur","qris"
185,175,"2025-01-18",2,"tanpa sayur","cash"
186,34,"2024-10-15",4,"sawi hijau","cash"
187,53,"2025-01-17",2,"sawi putih","qris"
188,154,"2024-06-16",1,"sawi putih","cash"
189,198,"2024-06-04",4,"sawi putih","cash"
190,71,"2025-03-29",0,"tanpa sayur","qris"
191,1,"2024-07-17",4,"sawi hijau","cash"
192,99,"2024-07-20",0,"tanpa sayur","cash"
193,4,"2024-04-13",0,"sawi hijau","cash"
194,121,"2024-04-13",3,"sawi putih","qris"
195,203,"2024-11-23",3,"sawi hijau","debit"
196,90,"2024-04-17",1,"sawi putih","cash"
197,98,"2024-03-25",0,"tanpa sayur","qris"
198,163,"2024-10-25",4,"sawi hijau","qris"
199,207,"2024-11-24",4,"sawi hijau","cash"
200,14,"2024-09-17",3,"sawi putih","debit"
201,74,"2024-02-04",0,"tanpa sayur","qris"
202,115,"2024-03-05",4,"tanpa sayur","debit"
203,5,"2024-08-05",1,"sawi hijau","transfer"
204,200,"2024-10-13",0,"sawi putih","cash"
205,166,"2024-04-12",2,"sawi hijau","cash"
206,200,"2024-05-08",5,"sawi putih","qris"
207,14,"2024-09-01",1,"sawi hijau","qris"
208,86,"2024-04-06",5,"sawi putih","cash"
209,34,"2025-01-29",2,"sawi putih","debit"
210,3,"2025-02-17",3,"sawi putih","qris"
211,13,"2024-01-10",2,"tanpa sayur","debit"
212,4,"2024-10-17",0,"sawi putih","cash"
213,198,"2024-05-22",5,"tanpa sayur","transfer"
214,152,"2024-07-15",3,"sawi hijau","qris"
215,109,"2024-12-08",1,"tanpa sayur","cash"
216,196,"2024-10-15",4,"tanpa sayur","cash"
217,42,"2025-01-07",3,"tanpa sayur","cash"
218,144,"2024-01-17",3,"tanpa sayur","cash"
219,115,"2024-07-25",2,"tanpa sayur","cash"
220,65,"2024-05-20",3,"sawi hijau","cash"
221,172,"2024-07-22",4,"tanpa sayur","qris"
222,140,"2024-07-07",3,"sawi putih","qris"
223,44,"2024-07-31",2,"sawi hijau","cash"
224,49,"2024-11-12",4,"sawi hijau","qris"
225,90,"2025-01-03",3,"sawi putih","cash"
226,188,"2024-11-02",4,"sawi hijau","cash"
227,120,"2024-12-12",3,"sawi hijau","cash"
228,177,"2024-10-24",0,"sawi hijau","qris"
229,75,"2024-09-21",0,"tanpa sayur","qris"
230,100,"2024-10-25",1,"tanpa sayur","qris"
231,86,"2024-08-15",5,"sawi hijau","cash"
232,212,"2024-05-27",1,"tanpa sayur","cash"
233,195,"2024-04-08",3,"sawi hijau","cash"
234,126,"2024-11-19",1,"tanpa sayur","cash"
235,64,"2024-03-20",1,"sawi hijau","cash"
236,108,"2024-10-17",3,"tanpa sayur","debit"
237,192,"2025-02-24",4,"tanpa sayur","cash"
238,109,"2025-03-05",1,"sawi hijau","cash"
239,104,"2024-05-04",1,"tanpa sayur","cash"
240,162,"2024-09-03",3,"tanpa sayur","debit"
241,10,"2025-02-24",3,"sawi putih","cash"
242,25,"2024-06-06",1,"sawi hijau","cash"
243,22,"2025-01-02",0,"sawi hijau","qris"
244,98,"2025-02-18",4,"sawi putih","cash"
245,51,"2024-08-02",4,"tanpa sayur","qris"
246,208,"2024-10-31",0,"sawi putih","cash"
247,188,"2024-06-01",4,"sawi hijau","qris"
248,3,"2024-04-01",1,"tanpa sayur","cash"
249,71,"2024-03-16",3,"sawi putih","cash"
250,176,"2025-01-21",2,"sawi hijau","debit"
251,105,"2024-05-08",4,"sawi hijau","qris"
252,166,"2024-04-11",1,"sawi hijau","qris"
253,157,"2024-02-29",3,"tanpa sayur","transfer"
254,197,"2024-09-10",4,"sawi putih","cash"
255,55,"2024-11-04",2,"tanpa sayur","cash"
256,171,"2024-03-22",0,"sawi hijau","debit"
257,84,"2024-11-06",5,"sawi hijau","cash"
258,62,"2024-07-07",1,"sawi putih","cash"
259,41,"2024-07-05",1,"sawi hijau","transfer"
260,113,"2024-03-16",2,"sawi hijau","cash"
261,195,"2024-06-29",3,"sawi putih","cash"
262,175,"2024-03-15",0,"sawi putih","debit"
263,65,"2024-08-08",0,"sawi hijau","qris"
264,49,"2024-12-14",3,"sawi hijau","cash"
265,197,"2025-02-26",0,"sawi hijau","debit"
266,5,"2024-07-09",2,"tanpa sayur","debit"
267,144,"2024-11-26",3,"sawi hijau","qris"
268,168,"2024-03-14",0,"sawi putih","qris"
269,66,"2024-05-05",4,"tanpa sayur","qris"
270,106,"2024-11-24",1,"sawi hijau","debit"
271,96,"2024-02-13",5,"sawi hijau","qris"
272,195,"2024-04-29",1,"sawi putih","cash"
273,62,"2025-01-30",3,"sawi putih","cash"
274,207,"2024-03-28",4,"sawi putih","cash"
275,200,"2024-01-26",0,"sawi hijau","cash"
276,157,"2024-09-05",2,"sawi putih","cash"
277,17,"2024-03-02",3,"sawi hijau","qris"
278,92,"2024-03-24",1,"tanpa sayur","cash"
279,171,"2024-12-25",2,"sawi putih","cash"
280,14,"2024-04-20",3,"sawi putih","qris"
281,106,"2025-02-19",1,"tanpa sayur","cash"
282,53,"2024-12-17",2,"sawi hijau","cash"
283,160,"2024-11-26",4,"sawi hijau","qris"
284,68,"2024-08-11",2,"sawi putih","cash"
285,61,"2024-02-20",3,"sawi hijau","cash"
286,122,"2024-02-04",0,"sawi hijau","qris"
287,139,"2024-09-10",4,"sawi putih","cash"
288,46,"2024-12-22",3,"sawi hijau","debit"
289,198,"2025-01-02",1,"tanpa sayur","cash"
290,106,"2024-11-05",1,"sawi hijau","cash"
291,114,"2024-09-30",4,"sawi hijau","cash"
292,123,"2024-05-05",2,"sawi hijau","cash"
293,143,"2025-01-02",4,"sawi hijau","cash"
294,63,"2025-03-12",0,"sawi putih","qris"
295,131,"2025-01-03",4,"sawi hijau","cash"
296,38,"2024-03-09",2,"sawi hijau","qris"
297,114,"2024-12-21",5,"sawi hijau","cash"
298,40,"2024-10-23",3,"sawi hijau","qris"
299,140,"2024-02-18",4,"sawi putih","qris"
300,116,"2024-01-17",3,"sawi putih","cash"
301,172,"2024-01-12",3,"tanpa sayur","cash"
302,40,"2024-11-12",3,"sawi hijau","cash"
303,55,"2024-12-18",1,"sawi hijau","cash"
304,5,"2024-09-22",5,"sawi hijau","cash"
305,210,"2024-01-13",3,"tanpa sayur","cash"
306,78,"2024-01-13",0,"sawi putih","qris"
307,169,"2024-08-20",1,"sawi hijau","qris"
308,111,"2025-02-21",3,"sawi putih","transfer"
309,74,"2025-02-13",0,"sawi hijau","cash"
310,82,"2024-07-13",4,"sawi putih","transfer"
311,26,"2024-01-17",2,"sawi putih","cash"
312,2,"2024-01-15",3,"sawi putih","qris"
313,187,"2025-01-02",3,"sawi hijau","cash"
314,106,"2024-09-17",0,"sawi hijau","cash"
315,169,"2024-11-15",0,"sawi putih","cash"
316,30,"2025-02-08",3,"tanpa sayur","cash"
317,105,"2024-02-13",2,"tanpa sayur","cash"
318,184,"2024-05-13",2,"sawi hijau","qris"
319,164,"2024-02-19",2,"sawi putih","cash"
320,126,"2024-05-11",1,"sawi hijau","cash"
321,104,"2024-04-08",0,"sawi putih","cash"
322,98,"2024-10-02",1,"sawi putih","cash"
323,17,"2024-07-07",2,"sawi putih","qris"
324,149,"2024-04-12",1,"tanpa sayur","cash"
325,171,"2024-10-13",5,"sawi putih","cash"
326,112,"2024-05-18",1,"sawi putih","cash"
327,203,"2024-01-27",5,"sawi hijau","debit"
328,77,"2024-08-06",1,"sawi putih","qris"
329,85,"2024-10-24",4,"sawi putih","cash"
330,105,"2024-06-16",4,"sawi hijau","cash"
331,14,"2024-04-14",4,"tanpa sayur","cash"
332,77,"2024-05-27",1,"sawi putih","cash"
333,71,"2024-11-12",3,"sawi putih","debit"
334,168,"2024-01-25",5,"sawi hijau","cash"
335,114,"2024-02-12",1,"sawi putih","cash"
336,132,"2024-01-12",4,"sawi putih","transfer"
337,75,"2024-02-04",3,"sawi putih","cash"
338,209,"2024-01-08",4,"sawi putih","transfer"
339,79,"2024-03-30",3,"sawi putih","transfer"
340,183,"2024-09-12",0,"tanpa sayur","cash"
341,203,"2024-10-18",2,"sawi putih","cash"
342,120,"2024-07-07",3,"sawi putih","cash"
343,136,"2024-05-11",0,"sawi hijau","qris"
344,96,"2024-12-12",0,"sawi hijau","cash"
345,114,"2025-03-30",2,"sawi putih","cash"
346,123,"2024-12-04",4,"sawi hijau","debit"
347,19,"2024-01-10",1,"tanpa sayur","qris"
348,101,"2024-08-08",4,"tanpa sayur","transfer"
349,41,"2025-03-22",2,"sawi putih","qris"
350,68,"2024-05-04",1,"sawi putih","debit"
351,106,"2024-12-08",2,"sawi putih","qris"
352,24,"2024-04-09",3,"sawi hijau","cash"
353,55,"2024-11-08",1,"sawi hijau","debit"
354,89,"2024-11-12",0,"sawi hijau","cash"
355,186,"2024-11-20",3,"sawi hijau","cash"
356,92,"2024-09-14",0,"sawi hijau","cash"
357,171,"2024-02-10",4,"sawi hijau","debit"
358,24,"2024-05-04",4,"tanpa sayur","qris"
359,142,"2024-10-23",5,"sawi hijau","qris"
360,197,"2024-07-10",1,"sawi hijau","cash"
361,154,"2024-02-11",4,"tanpa sayur","cash"
362,96,"2024-06-19",0,"sawi putih","cash"
363,147,"2025-02-26",3,"sawi putih","qris"
364,7,"2024-09-26",1,"sawi putih","qris"
365,5,"2024-02-05",5,"tanpa sayur","cash"
366,162,"2024-03-10",0,"sawi hijau","cash"
367,203,"2025-02-24",3,"sawi hijau","qris"
368,198,"2024-10-21",3,"sawi hijau","debit"
369,142,"2025-02-18",4,"tanpa sayur","qris"
370,55,"2025-03-18",3,"sawi putih","cash"
371,166,"2024-12-04",0,"sawi hijau","qris"
372,49,"2025-03-06",0,"tanpa sayur","cash"
373,146,"2024-06-23",1,"sawi putih","cash"
374,2,"2024-04-23",4,"sawi putih","qris"
375,203,"2024-04-14",4,"sawi hijau","cash"
376,59,"2025-02-02",1,"sawi hijau","cash"
377,175,"2024-10-15",2,"sawi putih","qris"
378,75,"2024-10-26",3,"tanpa sayur","cash"
379,119,"2024-06-16",2,"sawi hijau","cash"
380,81,"2024-12-17",3,"sawi hijau","qris"
381,93,"2024-12-16",2,"sawi putih","cash"
382,56,"2024-12-30",2,"sawi hijau","cash"
383,26,"2024-04-16",3,"sawi hijau","qris"
384,137,"2024-05-28",5,"sawi hijau","qris"
385,138,"2024-09-12",4,"sawi putih","qris"
386,172,"2024-07-05",1,"tanpa sayur","cash"
387,199,"2024-01-18",1,"sawi hijau","cash"
388,81,"2024-04-16",1,"sawi putih","cash"
389,61,"2024-01-10",3,"sawi hijau","cash"
390,175,"2024-06-28",0,"sawi putih","cash"
391,49,"2024-11-19",1,"tanpa sayur","cash"
392,99,"2024-09-29",0,"sawi putih","cash"
393,207,"2025-01-21",1,"tanpa sayur","cash"
394,182,"2024-10-15",0,"sawi hijau","cash"
395,132,"2024-07-10",2,"sawi hijau","qris"
396,58,"2025-02-07",1,"tanpa sayur","qris"
397,204,"2024-04-14",2,"sawi putih","qris"
398,103,"2025-03-04",3,"sawi hijau","transfer"
399,58,"2024-09-02",4,"sawi hijau","qris"
400,157,"2024-02-06",0,"sawi hijau","debit"
401,17,"2024-09-23",3,"sawi hijau","cash"
402,7,"2024-03-02",4,"sawi hijau","qris"
403,79,"2024-10-17",0,"sawi hijau","cash"
404,113,"2024-08-30",1,"sawi putih","cash"
405,201,"2024-05-10",1,"sawi putih","cash"
406,182,"2025-01-20",4,"tanpa sayur","cash"
407,26,"2024-05-07",0,"sawi hijau","cash"
408,203,"2024-08-02",2,"sawi hijau","debit"
409,169,"2025-01-11",2,"sawi hijau","cash"
410,55,"2024-04-09",1,"sawi putih","cash"
411,195,"2024-01-27",3,"sawi putih","cash"
412,55,"2024-11-26",2,"sawi hijau","qris"
413,200,"2025-01-03",3,"sawi putih","debit"
414,102,"2025-03-03",3,"sawi putih","debit"
415,192,"2024-08-21",4,"sawi putih","debit"
416,26,"2024-01-12",5,"sawi hijau","qris"
417,41,"2024-07-07",0,"tanpa sayur","cash"
418,108,"2024-10-22",4,"tanpa sayur","cash"
419,136,"2024-06-15",4,"sawi putih","qris"
420,206,"2024-02-09",1,"tanpa sayur","cash"
421,110,"2024-03-19",4,"sawi hijau","cash"
422,147,"2024-12-18",1,"sawi putih","cash"
423,53,"2024-02-15",2,"sawi hijau","debit"
424,61,"2025-03-10",2,"tanpa sayur","debit"
425,49,"2024-10-25",2,"sawi hijau","debit"
426,103,"2024-03-13",1,"sawi hijau","cash"
427,65,"2024-09-30",3,"sawi hijau","cash"
428,205,"2024-10-06",1,"sawi putih","cash"
429,30,"2025-03-03",0,"sawi hijau","cash"
430,121,"2024-06-26",4,"sawi hijau","debit"
431,9,"2024-06-09",3,"tanpa sayur","cash"
432,144,"2024-02-29",4,"sawi hijau","qris"
433,111,"2025-03-12",0,"tanpa sayur","qris"
434,36,"2024-09-23",0,"sawi hijau","debit"
435,179,"2024-11-09",5,"tanpa sayur","cash"
436,119,"2024-02-19",5,"sawi putih","qris"
437,67,"2025-03-30",0,"sawi hijau","cash"
438,86,"2024-01-08",3,"sawi hijau","cash"
439,133,"2024-07-12",2,"tanpa sayur","cash"
440,109,"2024-07-04",0,"sawi hijau","debit"
441,142,"2024-06-15",0,"sawi putih","debit"
442,92,"2024-11-17",4,"sawi hijau","debit"
443,106,"2025-01-17",1,"sawi putih","cash"
444,137,"2024-08-24",1,"sawi hijau","transfer"
445,177,"2024-03-29",0,"tanpa sayur","qris"
446,3,"2024-05-26",1,"sawi putih","cash"
447,62,"2024-07-08",1,"sawi hijau","qris"
448,205,"2025-01-14",4,"sawi hijau","qris"
449,119,"2024-01-30",2,"sawi hijau","qris"
450,127,"2024-07-24",2,"sawi hijau","qris"
451,157,"2024-12-26",2,"tanpa sayur","qris"
452,137,"2024-02-15",0,"tanpa sayur","qris"
453,205,"2024-01-27",0,"tanpa sayur","qris"
454,53,"2024-12-13",4,"tanpa sayur","cash"
455,49,"2024-04-09",0,"tanpa sayur","cash"
456,44,"2025-03-14",3,"tanpa sayur","qris"
457,60,"2024-02-07",1,"sawi hijau","qris"
458,107,"2024-03-27",0,"sawi putih","cash"
459,49,"2024-05-22",4,"sawi hijau","cash"
460,94,"2025-03-05",3,"sawi hijau","cash"
461,114,"2024-08-13",3,"tanpa sayur","qris"
462,123,"2024-08-10",4,"tanpa sayur","debit"
463,14,"2024-02-20",4,"sawi putih","qris"
464,109,"2024-06-27",2,"tanpa sayur","qris"
465,60,"2024-10-24",4,"sawi hijau","cash"
466,143,"2024-07-09",1,"sawi putih","qris"
467,119,"2024-04-04",0,"sawi hijau","cash"
468,92,"2024-01-17",3,"sawi hijau","debit"
469,84,"2024-10-13",0,"sawi hijau","cash"
470,132,"2025-01-01",0,"sawi putih","debit"
471,171,"2024-07-10",1,"sawi putih","debit"
472,131,"2025-03-01",4,"sawi putih","qris"
473,174,"2024-06-09",4,"sawi putih","debit"
474,61,"2024-10-22",1,"sawi hijau","debit"
475,65,"2024-08-18",4,"sawi putih","cash"
476,137,"2024-10-23",4,"sawi putih","qris"
477,115,"2024-11-21",4,"sawi hijau","cash"
478,119,"2024-07-30",3,"sawi hijau","cash"
479,44,"2024-02-18",2,"sawi putih","cash"
480,86,"2024-12-07",1,"sawi hijau","qris"
481,186,"2024-07-11",4,"tanpa sayur","cash"
482,48,"2024-04-14",0,"sawi putih","debit"
483,212,"2025-02-04",0,"tanpa sayur","qris"
484,14,"2024-01-14",3,"sawi putih","qris"
485,74,"2024-08-30",1,"sawi putih","cash"
486,116,"2025-03-19",1,"tanpa sayur","debit"
487,139,"2024-03-04",0,"sawi putih","cash"
488,124,"2024-09-20",1,"sawi hijau","cash"
489,174,"2025-03-05",0,"sawi putih","cash"
490,203,"2024-11-08",1,"sawi putih","qris"
491,48,"2025-01-20",3,"sawi putih","cash"
492,154,"2024-12-11",0,"tanpa sayur","cash"
493,116,"2024-03-31",2,"sawi hijau","cash"
494,84,"2024-12-19",0,"tanpa sayur","debit"
495,188,"2025-01-25",2,"sawi putih","debit"
496,34,"2024-03-12",0,"sawi hijau","qris"
497,100,"2024-05-19",2,"tanpa sayur","cash"
498,94,"2024-04-12",4,"sawi hijau","cash"
499,118,"2024-08-07",3,"tanpa sayur","cash"
500,35,"2024-04-16",5,"sawi putih","qris"
501,119,"2024-04-18",1,"sawi hijau","transfer"
502,60,"2024-10-08",2,"tanpa sayur","cash"
503,205,"2024-07-09",1,"sawi putih","cash"
504,161,"2024-03-11",4,"sawi hijau","qris"
505,195,"2024-07-03",0,"sawi hijau","cash"
506,41,"2024-08-01",1,"tanpa sayur","cash"
507,31,"2024-07-16",3,"sawi hijau","qris"
508,49,"2024-03-19",0,"sawi hijau","qris"
509,46,"2024-02-19",1,"sawi putih","cash"
510,77,"2024-01-14",3,"sawi putih","debit"
511,27,"2024-10-23",1,"sawi putih","cash"
512,174,"2024-12-25",4,"tanpa sayur","cash"
513,208,"2024-02-24",1,"sawi putih","cash"
514,25,"2024-03-05",0,"sawi putih","cash"
515,85,"2024-08-10",1,"tanpa sayur","cash"
516,130,"2024-12-18",2,"sawi hijau","cash"
517,126,"2024-02-18",2,"sawi hijau","cash"
518,135,"2025-03-10",1,"sawi putih","debit"
519,103,"2025-02-21",1,"sawi hijau","cash"
520,104,"2024-05-27",2,"sawi hijau","qris"
521,211,"2025-03-19",2,"sawi hijau","qris"
522,103,"2024-12-26",5,"sawi hijau","qris"
523,5,"2024-09-13",0,"sawi hijau","qris"
524,107,"2024-04-15",2,"sawi hijau","cash"
525,145,"2024-01-04",0,"tanpa sayur","debit"
526,188,"2024-03-19",1,"sawi putih","qris"
527,198,"2025-01-26",1,"tanpa sayur","cash"
528,111,"2024-02-20",3,"sawi hijau","cash"
529,177,"2024-07-15",0,"sawi putih","debit"
530,111,"2024-04-04",0,"sawi putih","cash"
531,56,"2025-03-14",1,"sawi hijau","qris"
532,3,"2024-04-26",2,"sawi hijau","cash"
533,132,"2025-03-18",1,"sawi hijau","qris"
534,7,"2024-07-22",3,"sawi hijau","debit"
535,135,"2024-03-16",1,"sawi hijau","cash"
536,5,"2024-08-03",0,"tanpa sayur","cash"
